INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1982-092AER","50427","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-02-26","88.26","82.57","196","181","","","0","SMALL","8246","1982","92","AER","Y","COSMOS 1408 DEB","1982-092AER","50427"
"1982-092AES","50428","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-04-24","88.52","82.59","210","193","","","0","SMALL","8246","1982","92","AES","Y","COSMOS 1408 DEB","1982-092AES","50428"
"1982-092AET","50429","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-01-16","96.27","81.83","685","475","","","0","SMALL","8306","1982","92","AET","Y","COSMOS 1408 DEB","1982-092AET","50429"
"1982-092AEU","50430","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-04-08","88.17","82.49","184","183","","","0","SMALL","8378","1982","92","AEU","Y","COSMOS 1408 DEB","1982-092AEU","50430"
"1982-092AEV","50431","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-07-04","88.97","82.45","236","211","","","0","SMALL","8108","1982","92","AEV","Y","COSMOS 1408 DEB","1982-092AEV","50431"
"1982-092AEW","50432","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-04-18","87.93","82.55","182","162","","","0","SMALL","8032","1982","92","AEW","Y","COSMOS 1408 DEB","1982-092AEW","50432"
"1982-092AEX","50433","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-06-24","89.21","82.56","254","217","","","0","SMALL","8306","1982","92","AEX","Y","COSMOS 1408 DEB","1982-092AEX","50433"
"1982-092AEY","50434","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-07-24","87.73","82.63","169","155","","","0","SMALL","8126","1982","92","AEY","Y","COSMOS 1408 DEB","1982-092AEY","50434"
"1982-092AEZ","50435","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-01-17","89.88","82.60","280","257","","","0","SMALL","7945","1982","92","AEZ","Y","COSMOS 1408 DEB","1982-092AEZ","50435"
"1982-092AF","49542","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-03-12","91.79","82.51","390","335","","","0","SMALL","7997","1982","92","AF","Y","COSMOS 1408 DEB","1982-092AF","49542"
